Month,PHP
2004-07-01,18.75
2004-08-01,19.26
2004-09-01,19.49
2004-10-01,19.34
2004-11-01,19.43
2004-12-01,19.73
2005-01-01,19.81
2005-02-01,19.63
2005-03-01,19.54
2005-04-01,19.93
2005-05-01,19.87
2005-06-01,19.79
2005-07-01,19.5
2005-08-01,19.67
2005-09-01,19.87
2005-10-01,19.66
2005-11-01,19.59
2005-12-01,19.35
2006-01-01,19.73
2006-02-01,19.55
2006-03-01,19.55
2006-04-01,19.97
2006-05-01,20.35
2006-06-01,20.64
2006-07-01,20.51
2006-08-01,20.6
2006-09-01,20.52
2006-10-01,20.24
2006-11-01,20.1
2006-12-01,19.95
2007-01-01,19.88
2007-02-01,19.57
2007-03-01,19.86
2007-04-01,20.05
2007-05-01,20.32
2007-06-01,20.35
2007-07-01,20.33
2007-08-01,20.84
2007-09-01,20.77
2007-10-01,20.46
2007-11-01,19.92
2007-12-01,19.65
2008-01-01,19.76
2008-02-01,19.66
2008-03-01,19.3
2008-04-01,19.36
2008-05-01,19.57
2008-06-01,19.66
2008-07-01,19.57
2008-08-01,19.46
2008-09-01,19.66
2008-10-01,19.53
2008-11-01,19.33
2008-12-01,19.22
2009-01-01,18.97
2009-02-01,18.79
2009-03-01,18.51
2009-04-01,18.69
2009-05-01,18.86
2009-06-01,19.16
2009-07-01,19.12
2009-08-01,19.25
2009-09-01,19.3
2009-10-01,19.11
2009-11-01,18.93
2009-12-01,18.66
2010-01-01,18.63
2010-02-01,18.46
2010-03-01,18.31
2010-04-01,18.27
2010-05-01,18.18
2010-06-01,18
2010-07-01,17.87
2010-08-01,17.64
2010-09-01,17.43
2010-10-01,17.09
2010-11-01,16.7
2010-12-01,16.45
2011-01-01,16.4
2011-02-01,16.4
2011-03-01,16.38
2011-04-01,16.43
2011-05-01,16.58
2011-06-01,16.68
2011-07-01,16.64
2011-08-01,16.45
2011-09-01,16.4
2011-10-01,16.28
2011-11-01,16.05
2011-12-01,15.88
2012-01-01,15.74
2012-02-01,15.69
2012-03-01,15.46
2012-04-01,15.2
2012-05-01,15.23
2012-06-01,15.3
2012-07-01,15.15
2012-08-01,14.91
2012-09-01,14.8
2012-10-01,14.96
2012-11-01,14.76
2012-12-01,14.5
2013-01-01,14.37
2013-02-01,14.4
2013-03-01,14.37
2013-04-01,14.18
2013-05-01,14.27
2013-06-01,14.32
2013-07-01,14.31
2013-08-01,14.08
2013-09-01,13.97
2013-10-01,13.83
2013-11-01,13.6
2013-12-01,13.36
2014-01-01,13.18
2014-02-01,13.08
2014-03-01,12.95
2014-04-01,13
2014-05-01,13
2014-06-01,13.04
2014-07-01,12.95
2014-08-01,12.97
2014-09-01,12.86
2014-10-01,12.63
2014-11-01,12.4
2014-12-01,12.09
2015-01-01,12
2015-02-01,11.83
2015-03-01,11.79
2015-04-01,11.74
2015-05-01,11.82
2015-06-01,11.83
2015-07-01,11.84
2015-08-01,11.83
2015-09-01,11.71
2015-10-01,11.61
2015-11-01,11.37
2015-12-01,11.33
2016-01-01,11.15
2016-02-01,11.06
2016-03-01,11.1
2016-04-01,11.1
2016-05-01,11.18
2016-06-01,11.13
2016-07-01,11.02
2016-08-01,10.9
2016-09-01,10.79
2016-10-01,10.58
2016-11-01,10.37
2016-12-01,10.21
2017-01-01,10.16
2017-02-01,10.05
2017-03-01,9.93
2017-04-01,9.91
2017-05-01,9.8
2017-06-01,9.57
2017-07-01,9.26
2017-08-01,9.02
2017-09-01,8.82
2017-10-01,8.59
2017-11-01,8.38
2017-12-01,8.36
2018-01-01,8.31
2018-02-01,8.29
2018-03-01,8.14
2018-04-01,8.1
2018-05-01,8.08
2018-06-01,7.93
2018-07-01,7.84
2018-08-01,7.66
2018-09-01,7.57
2018-10-01,7.42
2018-11-01,7.25
2018-12-01,7.24
2019-01-01,7.21
2019-02-01,7.2
2019-03-01,7.15
2019-04-01,7.11
2019-05-01,7.03
2019-06-01,6.85
2019-07-01,6.67
2019-08-01,6.49
2019-09-01,6.37
2019-10-01,6.24
2019-11-01,6.14
2019-12-01,6.17
2020-01-01,6.22
2020-02-01,6.29
2020-03-01,6.12
2020-04-01,6.21
2020-05-01,6.1
2020-06-01,6
2020-07-01,5.93
2020-08-01,5.81
2020-09-01,6.04
2020-10-01,5.86
2020-11-01,6.04
2020-12-01,6.06
2021-01-01,6.02
2021-02-01,6.15
2021-03-01,6.12
2021-04-01,6.4
2021-05-01,6.39
2021-06-01,6.33
2021-07-01,6.35
2021-08-01,6.31
2021-09-01,6.37
2021-10-01,6.28
2021-11-01,6.19
2021-12-01,6.24
2022-01-01,6.06
